basin,year,tax_bray,bio_bray,eco_bray
BE01,1996,0.679958543,0.313916792,0.252663431
BE01,1997,0.704881995,0.298085167,0.249036853
BE01,1998,0.71363072,0.364221866,0.253141391
BE01,1999,0.697932733,0.304957798,0.231508481
BE01,2000,0.610971412,0.295417398,0.199716197
BE01,2002,0.633128752,0.288534333,0.193299204
BE01,2004,0.696864078,0.366797683,0.236215425
BE02,1995,0.798912758,0.44387546,0.296071616
BE02,1996,0.779923011,0.428956654,0.306887023
BE02,1997,0.790853328,0.432558075,0.284090655
BE02,1998,0.802170468,0.446217199,0.318707783
BE02,1999,0.810776574,0.482913785,0.345447112
BE03,2000,0.778659658,0.426605929,0.299809313
BE03,2002,0.780674029,0.402389739,0.326016915
BE03,2003,0.781419625,0.442515328,0.289434391
BE03,2004,0.761788416,0.405939485,0.287067873
BE03,2005,0.766239016,0.405897611,0.274545528
BE04,1999,0.765294966,0.51750681,0.345718562
BE04,2000,0.776677974,0.496185662,0.381970467
BE04,2002,0.814048858,0.483115267,0.378500633
BE04,2003,0.795129989,0.352246705,0.274526712
BE04,2005,0.735181511,0.525100431,0.345649704
BE04,2007,0.742092829,0.410822357,0.310168756
BE04,2008,0.749539577,0.41501997,0.326805401
BE04,2009,0.736603464,0.420443595,0.328172786
BE04,2010,0.701130004,0.356672491,0.273140577
BE04,2011,0.757105995,0.412560052,0.301076539
BE04,2013,0.727045378,0.37060737,0.264660125
BE04,2015,0.798503825,0.422982163,0.317731998
BE04,2016,0.770704367,0.426876312,0.275769867
BE04,2018,0.799442823,0.439946419,0.313148684
BE04,2019,0.789395162,0.490912771,0.327987457
BE04,2020,0.79916451,0.454211779,0.337398729
BE04,2022,0.787345615,0.500458932,0.337826338
BE04,2023,0.804236166,0.456882659,0.307527594
BE05,1995,0.692379849,0.317917471,0.20736622
BE05,1996,0.690097481,0.396411224,0.240971454
BE05,1997,0.6340886,0.316370174,0.198346119
BE05,1999,0.677729174,0.381246903,0.200420451
BE05,2001,0.698943059,0.249400616,0.148255716
BE05,2002,0.676109622,0.246512573,0.141926901
BE05,2003,0.66332469,0.295214563,0.172298369
BE05,2004,0.68893879,0.34019528,0.161779042
BE05,2005,0.670893833,0.298776959,0.151888102
BE05,2006,0.699684709,0.328859498,0.183877718
CR01,2013,0.873187764,0.501514856,0.436742453
CR01,2014,0.88596625,0.565489693,0.448418676
CR01,2015,0.84049097,0.538607717,0.416563505
CR01,2016,0.844901978,0.507450888,0.404453502
CR01,2017,0.814962469,0.546612771,0.393301289
CR01,2018,0.910652532,0.603279625,0.399270273
CR01,2019,0.90861594,0.650652138,0.37483681
CR01,2020,0.868975313,0.553503296,0.38324054
CR01,2021,0.867170034,0.594263591,0.430230202
CR02,2012,0.786814029,0.350417378,0.240890095
CR02,2013,0.755605724,0.41117109,0.188846573
CR02,2014,0.747473344,0.368388471,0.203582167
CR02,2015,0.729646186,0.43445452,0.188999124
CR02,2016,0.758700605,0.380438582,0.182542579
CR02,2017,0.720216664,0.355287948,0.198542709
CR02,2018,0.839544302,0.473241661,0.246062096
DE01,1999,0.661831198,0.315141286,0.199890212
DE01,2000,0.761560551,0.462054711,0.221063345
DE01,2001,0.748768473,0.417837382,0.208448782
DE01,2002,0.731439047,0.283995904,0.184983722
DE01,2003,0.767234094,0.367008752,0.199746538
DE01,2004,0.806625794,0.402630516,0.217575154
DE01,2005,0.789077309,0.399976138,0.210292128
DE01,2006,0.790486976,0.438278132,0.218781984
DE01,2007,0.747468253,0.365736324,0.208757635
DE01,2008,0.68632547,0.300564124,0.248228083
DE01,2009,0.818700773,0.463510846,0.263229045
DE01,2010,0.798596277,0.435167756,0.214893098
DE01,2011,0.714836719,0.387888409,0.156785596
DE01,2012,0.712178877,0.370941296,0.209322728
DE02,1999,0.843982816,0.530511931,0.415838748
DE02,2000,0.856498591,0.554987381,0.422545995
DE02,2001,0.856950345,0.641896528,0.456347696
DE02,2002,0.847913946,0.563642383,0.448808361
DE02,2003,0.917827634,0.649987545,0.445026567
DE02,2004,0.899718017,0.53352523,0.426060539
DE02,2005,0.871700381,0.574879687,0.446334666
DE02,2006,0.877438456,0.552494203,0.442140088
DE02,2007,0.864019637,0.590650826,0.428538605
DE02,2008,0.825449035,0.506161216,0.436356695
DE02,2009,0.86613053,0.62096461,0.465875249
DE02,2010,0.88245955,0.566379595,0.432321526
DE02,2011,0.861079582,0.644715271,0.453060747
DE02,2012,0.875897501,0.633629141,0.441538572
DE02,2013,0.849295518,0.646177084,0.464109603
DE02,2014,0.840229696,0.576655559,0.457758697
