basin,country,basin_name,distance_mean,distance_max,distance_min,taxon_resolution,sample_units,number_sites,year,ts_length,taxa,total_taxa,urban_mean,crop_mean,forest_mean,eqr,temperature_trend,lat_center,lon_center,taxonomic_bray,biological_bray,ecological_bray,taxonomic_chiSq
CR01,czechrep,Elbe,62.37717512,123.8556839,6.527297321,mixed,ind/sample,13,2013,9,53,94,0.039375026,0.439107471,0.417312949,0.424461538,0.021187223,50.29788481,15.05693276,0.873187764,0.501514856,0.436742453,0.907475628
CR01,czechrep,Elbe,62.37717512,123.8556839,6.527297321,mixed,ind/sample,13,2014,9,50,94,0.039380695,0.440416287,0.415616704,0.376923077,0.021187223,50.29788481,15.05693276,0.88596625,0.565489693,0.448418676,0.905433793
CR01,czechrep,Elbe,62.37717512,123.8556839,6.527297321,mixed,ind/sample,13,2015,9,53,94,0.039467554,0.440414609,0.415531524,0.386615385,0.021187223,50.29788481,15.05693276,0.84049097,0.538607717,0.416563505,0.891144087
CR01,czechrep,Elbe,62.37717512,123.8556839,6.527297321,mixed,ind/sample,13,2016,9,60,94,0.039539243,0.439384131,0.417111943,0.419307692,0.021187223,50.29788481,15.05693276,0.844901978,0.507450888,0.404453502,0.922757893
CR01,czechrep,Elbe,62.37717512,123.8556839,6.527297321,mixed,ind/sample,13,2017,9,58,94,0.039550382,0.439420382,0.417049233,0.402615385,0.021187223,50.29788481,15.05693276,0.814962469,0.546612771,0.393301289,0.906824419
CR01,czechrep,Elbe,62.37717512,123.8556839,6.527297321,mixed,ind/sample,13,2018,9,70,94,0.039553095,0.439448571,0.416894723,0.439076923,0.021187223,50.29788481,15.05693276,0.910652532,0.603279625,0.399270273,0.929305132
CR01,czechrep,Elbe,62.37717512,123.8556839,6.527297321,mixed,ind/sample,13,2019,9,55,94,0.039583921,0.437495566,0.419743973,0.385307692,0.021187223,50.29788481,15.05693276,0.90861594,0.650652138,0.37483681,0.90956252
CR01,czechrep,Elbe,62.37717512,123.8556839,6.527297321,mixed,ind/sample,13,2020,9,60,94,0.039583921,0.437714688,0.419404176,0.421230769,0.021187223,50.29788481,15.05693276,0.868975313,0.553503296,0.38324054,0.897821963
CR01,czechrep,Elbe,62.37717512,123.8556839,6.527297321,mixed,ind/sample,13,2021,9,51,94,0.039583921,0.437714688,0.420199395,0.384076923,0.021187223,50.29788481,15.05693276,0.867170034,0.594263591,0.430230202,0.905789678
CR02,czechrep,Danube,70.09110304,145.8295999,4.176490659,mixed,ind/sample,8,2012,7,68,103,0.030874943,0.594284042,0.343042684,0.57725,0.018393038,49.13685831,16.39638331,0.786814029,0.350417378,0.240890095,0.814345635
CR02,czechrep,Danube,70.09110304,145.8295999,4.176490659,mixed,ind/sample,8,2013,7,64,103,0.03088343,0.594421913,0.342775962,0.57675,0.018393038,49.13685831,16.39638331,0.755605724,0.41117109,0.188846573,0.839543573
CR02,czechrep,Danube,70.09110304,145.8295999,4.176490659,mixed,ind/sample,8,2014,7,64,103,0.030891917,0.595438471,0.341308631,0.59125,0.018393038,49.13685831,16.39638331,0.747473344,0.368388471,0.203582167,0.804401388
CR02,czechrep,Danube,70.09110304,145.8295999,4.176490659,mixed,ind/sample,8,2015,7,64,103,0.030905065,0.595429984,0.34130397,0.5685,0.018393038,49.13685831,16.39638331,0.729646186,0.43445452,0.188999124,0.806423211
CR02,czechrep,Danube,70.09110304,145.8295999,4.176490659,mixed,ind/sample,8,2016,7,65,103,0.030921705,0.595868497,0.340733494,0.53475,0.018393038,49.13685831,16.39638331,0.758700605,0.380438582,0.182542579,0.790391554
