basin,site,ID,sample_id,country,river,basin_name,basin_id,latitude,longitude,year,month,abundance,taxon_richness,biological_richness,ecological_richness,taxonomic_hill1,biological_hill1,ecological_hill1,eqr_site
FR04,100000016,100000016_2008,100000016_04.08.2008,france,NEUNE,Rhine,539,48.18509979,6.760989544,2008,8,4.574920363,48,0.757503807,0.485900342,0.664978169,0.374189185,0.285618146,1.266666667
FR04,100000016,100000016_2009,100000016_12.08.2009,france,NEUNE,Rhine,539,48.18509979,6.760989544,2009,8,3.490044129,31,0.549530777,0.312358231,0.437167418,0.196626052,0.17168778,1
FR04,100000016,100000016_2010,100000016_22.07.2010,france,NEUNE,Rhine,539,48.18509979,6.760989544,2010,7,3.628992509,35,0.518649833,0.364876902,0.455483172,0.215798187,0.183970445,1.133333333
FR04,100000016,100000016_2011,100000016_04.07.2011,france,NEUNE,Rhine,539,48.18509979,6.760989544,2011,7,3.774667782,39,0.655118817,0.414181256,0.492382009,0.256893225,0.232146049,1.266666667
FR04,100000016,100000016_2012,100000016_13.08.2012,france,NEUNE,Rhine,539,48.18509979,6.760989544,2012,8,4.512200489,41,0.644870224,0.404108936,0.620505906,0.367668362,0.33524047,1.266666667
FR04,100000016,100000016_2013,100000016_24.07.2013,france,NEUNE,Rhine,539,48.18509979,6.760989544,2013,7,3.390717991,29,0.479062712,0.361206231,0.37398226,0.167119283,0.155979984,1.066666667
FR04,100000016,100000016_2015,100000016_23.07.2015,france,NEUNE,Rhine,539,48.18509979,6.760989544,2015,7,4.042189555,38,0.527536666,0.388833278,0.528309768,0.273594401,0.239536761,1.2
FR04,100000018,100000018_2008,100000018_20.08.2008,france,MEURTHE,Rhine,539,48.18445676,6.975323307,2008,8,3.625111993,33,0.564896928,0.378000273,0.416366423,0.175729006,0.147416786,1.066666667
FR04,100000018,100000018_2009,100000018_13.08.2009,france,MEURTHE,Rhine,539,48.18445676,6.975323307,2009,8,2.892079331,27,0.382285765,0.305969134,0.276096531,0.082427659,0.064749523,0.933333333
FR04,100000018,100000018_2010,100000018_23.07.2010,france,MEURTHE,Rhine,539,48.18445676,6.975323307,2010,7,3.399653162,29,0.400157708,0.299863425,0.378208555,0.134893573,0.107008852,1
FR04,100000018,100000018_2011,100000018_03.08.2011,france,MEURTHE,Rhine,539,48.18445676,6.975323307,2011,8,3.100707088,24,0.351829175,0.169260565,0.301745823,0.09317007,0.059345108,0.933333333
FR04,100000018,100000018_2012,100000018_13.08.2012,france,MEURTHE,Rhine,539,48.18445676,6.975323307,2012,8,2.948564185,28,0.348869488,0.274259434,0.28683984,0.090281249,0.069822633,1
FR04,100000018,100000018_2013,100000018_23.07.2013,france,MEURTHE,Rhine,539,48.18445676,6.975323307,2013,7,3.638057616,25,0.341385491,0.216031896,0.367880437,0.138291026,0.112868315,0.933333333
FR04,100000018,100000018_2015,100000018_23.07.2015,france,MEURTHE,Rhine,539,48.18445676,6.975323307,2015,7,3.207067271,26,0.276238591,0.26136157,0.311720197,0.100179267,0.07158462,1
FR04,100000020,100000020_2008,100000020_10.07.2008,france,VEZOUZE,Rhine,539,48.57951326,6.628408377,2008,7,3.250887756,31,0.511368258,0.348328165,0.358675632,0.153316362,0.146807257,1.066666667
FR04,100000020,100000020_2009,100000020_14.08.2009,france,VEZOUZE,Rhine,539,48.57951326,6.628408377,2009,8,4.56770656,36,0.602386844,0.503184849,0.58937091,0.346277854,0.329454203,1.133333333
FR04,100000020,100000020_2010,100000020_22.07.2010,france,VEZOUZE,Rhine,539,48.57951326,6.628408377,2010,7,4.270810879,41,0.648174023,0.558632784,0.577109476,0.337359467,0.313555974,1.266666667
FR04,100000020,100000020_2011,100000020_06.07.2011,france,VEZOUZE,Rhine,539,48.57951326,6.628408377,2011,7,3.959603355,45,0.733447717,0.69288679,0.528943545,0.286195162,0.343403071,1.266666667
FR04,100000020,100000020_2012,100000020_15.08.2012,france,VEZOUZE,Rhine,539,48.57951326,6.628408377,2012,8,4.318717829,43,0.678475704,0.377371314,0.581375932,0.319414135,0.315559962,1.266666667
FR04,100000020,100000020_2013,100000020_20.07.2013,france,VEZOUZE,Rhine,539,48.57951326,6.628408377,2013,7,3.926846495,35,0.550574078,0.507517267,0.477699317,0.244811845,0.228075905,1.133333333
FR04,100000020,100000020_2015,100000020_21.07.2015,france,VEZOUZE,Rhine,539,48.57951326,6.628408377,2015,7,4.307503219,33,0.418341162,0.519407051,0.520819569,0.270393449,0.244006067,1.066666667
FR04,100000021,100000021_2008,100000021_04.08.2008,france,MORTAGNE,Rhine,539,48.39720343,6.584674714,2008,8,4.081883277,40,0.57100725,0.436508626,0.553122116,0.294399841,0.24465911,1.2
FR04,100000021,100000021_2009,100000021_13.08.2009,france,MORTAGNE,Rhine,539,48.39720343,6.584674714,2009,8,4.517322862,42,0.504498171,0.289552489,0.630549468,0.354893808,0.296290023,1.266666667
FR04,100000021,100000021_2010,100000021_22.07.2010,france,MORTAGNE,Rhine,539,48.39720343,6.584674714,2010,7,3.734734746,37,0.473092387,0.3386371,0.486644914,0.243543747,0.217840465,1.2
FR04,100000021,100000021_2011,100000021_06.07.2011,france,MORTAGNE,Rhine,539,48.39720343,6.584674714,2011,7,3.612729075,30,0.392982975,0.36089021,0.391576661,0.15278572,0.116460386,1.066666667
FR04,100000021,100000021_2012,100000021_15.08.2012,france,MORTAGNE,Rhine,539,48.39720343,6.584674714,2012,8,2.870069635,34,0.474386863,0.309006263,0.339065214,0.142434579,0.125330775,1.133333333
FR04,100000021,100000021_2013,100000021_22.07.2013,france,MORTAGNE,Rhine,539,48.39720343,6.584674714,2013,7,2.454569486,22,0.243644778,0.274830759,0.222602308,0.076383545,0.070103882,0.933333333
FR04,100000021,100000021_2015,100000021_20.07.2015,france,MORTAGNE,Rhine,539,48.39720343,6.584674714,2015,7,4.039002143,35,0.505485046,0.35580921,0.467618863,0.230471226,0.180601597,1.2
FR04,100000022,100000022_2008,100000022_05.08.2008,france,RUPT DE MAD,Rhine,539,48.90726421,5.80552266,2008,8,3.385369247,32,0.373988933,0.430226839,0.385712812,0.141536059,0.091114839,0.866666667
FR04,100000022,100000022_2009,100000022_07.08.2009,france,RUPT DE MAD,Rhine,539,48.90726421,5.80552266,2009,8,3.105952963,34,0.512659214,0.289791043,0.345898757,0.124604032,0.095629694,1.066666667
FR04,100000022,100000022_2010,100000022_26.07.2010,france,RUPT DE MAD,Rhine,539,48.90726421,5.80552266,2010,7,3.993664834,45,0.718998202,0.50711411,0.577362122,0.336864303,0.281890726,1.266666667
FR04,100000022,100000022_2011,100000022_08.07.2011,france,RUPT DE MAD,Rhine,539,48.90726421,5.80552266,2011,7,4.095327056,35,0.569496332,0.538695732,0.504422434,0.22030437,0.165264008,1.133333333
FR04,100000022,100000022_2012,100000022_07.08.2012,france,RUPT DE MAD,Rhine,539,48.90726421,5.80552266,2012,8,3.218124778,28,0.364769681,0.251709846,0.344385941,0.133986048,0.102849085,1
FR04,100000022,100000022_2013,100000022_31.07.2013,france,RUPT DE MAD,Rhine,539,48.90726421,5.80552266,2013,7,2.656846109,31,0.431393305,0.343668997,0.271459806,0.099423349,0.082562375,1.066666667
FR04,100000022,100000022_2015,100000022_31.07.2015,france,RUPT DE MAD,Rhine,539,48.90726421,5.80552266,2015,7,3.814058585,31,0.43311139,0.171628179,0.44880072,0.177536457,0.124675908,0.866666667
FR04,100000023,100000023_2008,100000023_06.08.2008,france,SEILLE,Rhine,539,48.79639989,6.669578399,2008,8,3.382014183,33,0.506650897,0.173646463,0.409328653,0.17663692,0.15987658,0.875
FR04,100000023,100000023_2009,100000023_11.08.2009,france,SEILLE,Rhine,539,48.79639989,6.669578399,2009,8,2.971527373,27,0.444007414,0.126232848,0.30333864,0.110791781,0.102672726,0.75
FR04,100000023,100000023_2010,100000023_21.07.2010,france,SEILLE,Rhine,539,48.79639989,6.669578399,2010,7,2.980390028,33,0.553917065,0.196010916,0.347321635,0.14535642,0.120524668,0.8125
FR04,100000023,100000023_2011,100000023_05.08.2011,france,SEILLE,Rhine,539,48.79639989,6.669578399,2011,8,3.077551677,27,0.434133981,0.100548152,0.295800694,0.108854913,0.105656694,0.75
FR04,100000023,100000023_2012,100000023_08.08.2012,france,SEILLE,Rhine,539,48.79639989,6.669578399,2012,8,2.772930891,24,0.413291036,0.122034767,0.259871397,0.099116299,0.095537476,0.625
FR04,100000023,100000023_2013,100000023_03.08.2013,france,SEILLE,Rhine,539,48.79639989,6.669578399,2013,8,2.361203695,25,0.409818542,0.109046752,0.183456956,0.052713882,0.052816885,0.625
FR04,100000023,100000023_2015,100000023_28.07.2015,france,SEILLE,Rhine,539,48.79639989,6.669578399,2015,7,2.464553221,21,0.306750633,0.093005713,0.174732863,0.041836738,0.045153316,0.5625
FR03,100000028,100000028_2009,100000028_05.08.2009,france,VAIR,Meuse,410,48.40248554,5.733337764,2009,8,4.452700833,36,0.680021572,0.497881672,0.573966119,0.330894862,0.310340349,0.9375
FR03,100000028,100000028_2010,100000028_16.07.2010,france,VAIR,Meuse,410,48.40248554,5.733337764,2010,7,4.266150189,41,0.842423509,0.52232069,0.585557696,0.33788166,0.297181576,1.0625
