basin,country,year,delta_taxonomic_allYears,delta_biological_allYears,delta_ecological_allYears,taxa_addition_allYears,taxa_subtraction_allYears,biological_addition_allYears,biological_subtraction_allYears,ecological_addition_allYears,ecological_subtraction_allYears,delta_taxonomic_toFirst,delta_biological_toFirst,delta_ecological_toFirst,taxa_addition_toFirst,taxa_subtraction_toFirst,biological_addition_toFirst,biological_subtraction_toFirst,ecological_addition_toFirst,ecological_subtraction_toFirst,delta_taxonomic_fromLast,delta_biological_fromLast,delta_ecological_fromLast,taxa_addition_fromLast,taxa_subtraction_fromLast,biological_addition_fromLast,biological_subtraction_fromLast,ecological_addition_fromLast,ecological_subtraction_fromLast
CR01,czechrep,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.142813357,-0.242499785,-0.006512251,0.040317808,-0.029175226,0.015541185,0.00437617,-0.002415105,0.000501502
CR01,czechrep,2014,0.012778486,0.063974837,0.011676223,0.020484384,-0.021125854,0.007400323,-0.004919138,0.009861832,-0.001227126,0.012778486,0.063974837,0.011676223,0.040317808,-0.029175226,0.015242181,0.002747024,0.002012258,0.003124233,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR01,czechrep,2015,-0.04547528,-0.026881976,-0.031855171,-0.038564819,-0.086852203,-0.003353389,-0.003617341,-0.007577454,-0.002252751,-0.032696794,0.037092861,-0.020178948,0.001327987,-0.054945531,0.005740358,-0.001495049,-0.001666365,-0.003436501,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR01,czechrep,2016,0.004411008,-0.031156829,-0.012110003,-0.015681882,0.004775196,0.000364075,0.001794581,-0.000477129,0.003206456,-0.028285786,0.005936032,-0.032288951,-0.035385764,-0.029138465,0.00893023,-0.000995173,-0.002813742,0.000714415,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR01,czechrep,2017,-0.029939509,0.039161883,-0.011152213,-0.053707989,-0.001636837,0.007923414,-0.001866609,0.002197862,0.000825478,-0.058225295,0.045097915,-0.043441164,-0.111325636,-0.00854342,0.009867576,0.002846152,0.001095452,9.01E-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR01,czechrep,2018,0.095690063,0.056666854,0.005968984,0.261596284,0.025931852,0.011178402,0.000138034,-0.001062211,0.000361214,0.037464768,0.101764769,-0.03747218,0.182106604,-0.014447523,0.020592595,0.004218204,-0.001084175,-0.000155233,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR01,czechrep,2019,-0.002036592,0.047372513,-0.024433463,-0.014475832,0.008605182,0.003965814,-0.005192936,0.000918409,1.81E-05,0.035428176,0.149137282,-0.061905643,0.160148452,0.001639979,0.01997851,0.005167576,7.48E-05,0.000339866,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR01,czechrep,2020,-0.039640627,-0.097148842,0.00840373,-0.135622667,-0.014381712,-0.00179311,-0.006788703,-0.00183545,4.40E-06,-0.004212451,0.05198844,-0.053501913,0.0386132,-0.026829148,0.014622541,-0.001151807,-0.00023236,-0.001588397,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR01,czechrep,2021,-0.001805279,0.040760295,0.046989662,0.020484384,-0.021125854,0.007400323,-0.004919138,0.009861832,-0.001227126,-0.00601773,0.092748735,-0.006512251,0.040317808,-0.029175226,0.015242181,0.002747024,0.002012258,0.003124233,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR02,czechrep,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044236722,0.06910864,0.005172001,0.137022091,-0.011059358,0.015641553,0.018322384,0.001513056,-0.001411574
CR02,czechrep,2013,-0.031208305,0.060753712,-0.052043522,0.211213653,-0.016035974,0.01860153,0.01310902,0.005808433,0.012802503,-0.031208305,0.060753712,-0.052043522,0.137022091,-0.011059358,0.02016565,0.016509937,-0.001939994,0.008500932,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR02,czechrep,2014,-0.00813238,-0.042782619,0.014735594,-0.027523105,0.00518371,0.009795473,-0.00452904,0.00335142,0.004987634,-0.039340685,0.017971093,-0.037307928,-0.084108178,9.63E-05,0.006887768,-0.001296483,-0.004871239,0.001534173,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR02,czechrep,2015,-0.017827158,0.066066049,-0.014583043,0.023862049,-0.035632567,0.007657094,0.003065832,-0.00764454,-0.002154651,-0.057167843,0.084037142,-0.051890971,-0.026002137,-0.069780301,0.008515319,0.005863693,-0.009571337,-0.004007628,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR02,czechrep,2016,0.029054419,-0.054015938,-0.006456545,0.110864496,-0.041020941,-0.004554696,-0.008380295,-0.000297891,-0.004129172,-0.028113424,0.030021204,-0.058347516,0.027559939,-0.053498823,0.004442068,0.002506293,-0.01217835,-0.005912662,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR02,czechrep,2017,-0.038483941,-0.025150634,0.01600013,0.028927224,-0.072203287,-0.004156902,0.004505744,0.004550424,0.001677265,-0.066597365,0.00487057,-0.042347386,-0.008850253,-0.060364693,0.009414127,-0.007623664,-0.006524031,-0.004574172,NA,NA,NA,NA,NA,NA,NA,NA,NA
CR02,czechrep,2018,0.119327638,0.117953713,0.047519387,0.211213653,-0.016035974,0.01860153,0.01310902,0.005808433,0.012802503,0.052730273,0.122824283,0.005172001,0.137022091,-0.011059358,0.02016565,0.016509937,-0.001939994,0.008500932,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE01,denmark,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021333278,0.021956922,0.009432516,0.056447623,-0.009946173,0.015415461,0.005938272,0.013708779,-0.009332995
DE01,denmark,2000,0.099729353,0.146913425,0.021173133,-0.016019148,-0.002670933,0.013096257,-0.013465864,0.01226777,0.006485604,0.099729353,0.146913425,0.021173133,0.056447623,-0.009946173,0.000139251,0.009201345,0.001822739,0.000768059,NA,NA,NA,NA,NA,NA,NA,NA,NA
DE01,denmark,2001,-0.012792078,-0.044217329,-0.012614563,-0.03309366,0.023841954,-0.015316654,-0.00688936,-0.000758142,0.012632675,0.086937275,0.102696096,0.00855857,0.155403373,-0.036194328,0.019552045,0.012789353,0.020700493,0.010755908,NA,NA,NA,NA,NA,NA,NA,NA,NA
