basin,year,biotrait,additive,subtractive
CR01,2014,tachsize_less0.25,9.59E-05,-0.000216873
CR01,2014,tachsize_0.25to0.5,-8.00E-05,-7.00E-05
CR01,2014,tachsize_0.5to1,0.000333941,8.57E-05
CR01,2014,tachsize_1to2,-0.000531277,-0.000539664
CR01,2014,tachsize_2to4,0.00019266,-0.00024884
CR01,2014,tachsize_4to8,2.26E-05,-1.02E-05
CR01,2014,tachsize_gr8,0.000115906,-0.000125022
CR01,2014,tachdisp_aquapass,9.66E-05,-0.001042752
CR01,2014,tachdisp_aquaact,0.000654046,-0.000211289
CR01,2014,tachdisp_aerpass,-9.25E-05,0.000472378
CR01,2014,tachdisp_aeract,0.000583428,-0.000189099
CR01,2014,tachrepcyc_less1,0.000110347,-3.12E-05
CR01,2014,tachrepcyc_one,0.001860159,-0.000740997
CR01,2014,tachrepcyc_gr1,0.000256965,-0.000290118
CR01,2014,feeding_gra,0.000259333,0.000280499
CR01,2014,feeding_min,-4.72E-05,0.000145889
CR01,2014,feeding_xyl,0,-0.000147909
CR01,2014,feeding_shr,0.000233404,-0.000695492
CR01,2014,feeding_gat,0.000942162,-0.000688967
CR01,2014,feeding_aff,0.001140056,0.000152478
CR01,2014,feeding_pff,0.000191484,3.32E-06
CR01,2014,feeding_pre,-0.000119686,0.000185991
CR01,2014,feeding_par,8.32E-05,0.000155782
CR01,2014,feeding_oth,-3.47E-06,1.49E-05
CR01,2014,tachresist_egg,0.000256871,-0.000140945
CR01,2014,tachresist_coc,0.0014646,-0.001807195
CR01,2014,tachresist_hou,-5.06E-06,-1.98E-05
CR01,2014,tachresist_did,-0.00012589,0.000245515
CR01,2014,tachresist_non,-0.00056791,0.0002766
CR01,2014,tachaqua_egg,0.000273014,-3.81E-05
CR01,2014,tachaqua_larva,-0.000231117,0.000347619
CR01,2014,tachaqua_nymph,0.000129481,0.000232567
CR01,2014,tachaqua_adult,-9.18E-05,-0.000263816
CR01,2015,tachsize_less0.25,-3.61E-05,-6.37E-05
CR01,2015,tachsize_0.25to0.5,0.000226945,4.58E-05
CR01,2015,tachsize_0.5to1,-0.000139616,-0.000144014
CR01,2015,tachsize_1to2,-0.000208385,-0.000878633
CR01,2015,tachsize_2to4,1.96E-05,-0.00040085
CR01,2015,tachsize_4to8,-2.64E-05,-8.30E-05
CR01,2015,tachsize_gr8,-2.82E-05,-4.35E-05
CR01,2015,tachdisp_aquapass,-0.000487445,0.000237536
CR01,2015,tachdisp_aquaact,-9.46E-05,-0.000124993
CR01,2015,tachdisp_aerpass,-0.00064525,0.000168408
CR01,2015,tachdisp_aeract,1.93E-06,-0.000110983
CR01,2015,tachrepcyc_less1,-3.43E-05,-7.59E-06
CR01,2015,tachrepcyc_one,-6.65E-05,0.000120657
CR01,2015,tachrepcyc_gr1,-0.000232239,-0.000816137
CR01,2015,feeding_gra,5.17E-05,-2.90E-05
CR01,2015,feeding_min,-0.00016333,-6.62E-05
CR01,2015,feeding_xyl,0,0
CR01,2015,feeding_shr,-2.34E-05,4.32E-06
CR01,2015,feeding_gat,-0.000249857,-0.000221908
CR01,2015,feeding_aff,0.001458435,-0.000123839
CR01,2015,feeding_pff,5.26E-06,5.21E-06
CR01,2015,feeding_pre,0.000564608,-0.00076454
CR01,2015,feeding_par,-0.000148505,-9.84E-05
CR01,2015,feeding_oth,-3.51E-06,-2.57E-06
CR01,2015,tachresist_egg,0.000283665,-0.000816955
CR01,2015,tachresist_coc,-0.000499894,-0.000558094
CR01,2015,tachresist_hou,2.69E-06,-5.15E-06
CR01,2015,tachresist_did,-8.42E-05,-0.000634731
CR01,2015,tachresist_non,-0.000761188,0.00056605
CR01,2015,tachaqua_egg,-0.00040053,0.000463199
CR01,2015,tachaqua_larva,-0.000503761,6.55E-05
CR01,2015,tachaqua_nymph,-0.000948204,0.000321877
CR01,2015,tachaqua_adult,-0.000182826,0.000378782
CR01,2016,tachsize_less0.25,-5.98E-05,4.68E-05
CR01,2016,tachsize_0.25to0.5,0.00139144,-0.000100304
CR01,2016,tachsize_0.5to1,-0.000673494,-0.000270102
CR01,2016,tachsize_1to2,8.29E-05,0.000175904
CR01,2016,tachsize_2to4,8.51E-05,1.13E-05
CR01,2016,tachsize_4to8,-4.75E-05,-0.000127908
CR01,2016,tachsize_gr8,-2.54E-05,-5.01E-05
CR01,2016,tachdisp_aquapass,-0.000437213,0.000979335
CR01,2016,tachdisp_aquaact,0.000250148,6.49E-05
CR01,2016,tachdisp_aerpass,-0.000638989,4.64E-05
CR01,2016,tachdisp_aeract,-8.46E-06,-8.04E-05
CR01,2016,tachrepcyc_less1,-8.64E-05,-5.43E-05
CR01,2016,tachrepcyc_one,-0.000397466,-0.000136974
CR01,2016,tachrepcyc_gr1,0.000190839,0.000279473
CR01,2016,feeding_gra,-0.000298846,-8.47E-05
CR01,2016,feeding_min,-0.000100879,0.000116585
CR01,2016,feeding_xyl,8.86E-05,0
CR01,2016,feeding_shr,0.000248272,-5.73E-05
CR01,2016,feeding_gat,-0.000126793,6.81E-05
CR01,2016,feeding_aff,-0.000289626,-0.000754574
CR01,2016,feeding_pff,5.81E-05,-5.12E-05
CR01,2016,feeding_pre,-0.000242441,-0.000360761
CR01,2016,feeding_par,-0.000136115,0.000125393
CR01,2016,feeding_oth,0.000689706,3.85E-06
CR01,2016,tachresist_egg,-0.000117879,-0.000107507
CR01,2016,tachresist_coc,-0.000359944,-0.000676014
CR01,2016,tachresist_hou,4.63E-05,-3.34E-06
CR01,2016,tachresist_did,0.003010372,4.13E-05
CR01,2016,tachresist_non,-0.001184552,0.00075721
CR01,2016,tachaqua_egg,0.00017496,0.000673601
CR01,2016,tachaqua_larva,-0.000239511,0.000544952
CR01,2016,tachaqua_nymph,-0.000890102,0.000275516
CR01,2016,tachaqua_adult,0.000408723,0.000499391
CR01,2017,tachsize_less0.25,0.000126456,-6.70E-05
CR01,2017,tachsize_0.25to0.5,-0.000168793,-0.000883257
CR01,2017,tachsize_0.5to1,0.002695182,0.000161184
CR01,2017,tachsize_1to2,-0.000248164,0.000340559
CR01,2017,tachsize_2to4,-2.70E-05,-0.000271125
CR01,2017,tachsize_4to8,0.000216194,-6.23E-06
CR01,2017,tachsize_gr8,0.000137173,-8.90E-06
CR01,2017,tachdisp_aquapass,0.00092066,-0.001217283
CR01,2017,tachdisp_aquaact,8.24E-05,-0.000215295
CR01,2017,tachdisp_aerpass,-0.000164225,0.000545871
CR01,2017,tachdisp_aeract,0.000220867,7.13E-05
CR01,2017,tachrepcyc_less1,-8.41E-05,2.59E-05
CR01,2017,tachrepcyc_one,-0.000241058,0.000472899
CR01,2017,tachrepcyc_gr1,9.50E-05,0.000529175
CR01,2017,feeding_gra,0.000708413,0.000188002
CR01,2017,feeding_min,2.02E-05,4.92E-05
CR01,2017,feeding_xyl,-3.81E-06,-4.18E-05
CR01,2017,feeding_shr,0.000148743,-0.000215361
CR01,2017,feeding_gat,0.000389484,0.000197796
CR01,2017,feeding_aff,-0.000143151,0.000261385
CR01,2017,feeding_pff,4.18E-05,-6.14E-05
CR01,2017,feeding_pre,1.80E-05,0.000249209
CR01,2017,feeding_par,2.81E-05,7.76E-05
CR01,2017,feeding_oth,-8.53E-06,-0.000431348
CR01,2017,tachresist_egg,0.001964286,0.000186789
CR01,2017,tachresist_coc,0.001999584,-0.000303611
CR01,2017,tachresist_hou,2.39E-05,-4.50E-05
CR01,2017,tachresist_did,-7.82E-05,-0.002582738
CR01,2017,tachresist_non,-0.000330196,0.000732262
CR01,2017,tachaqua_egg,0.000240116,-0.000243561
CR01,2017,tachaqua_larva,-0.000143341,0.000132016
CR01,2017,tachaqua_nymph,-1.91E-05,0.000674379
CR01,2017,tachaqua_adult,-0.00049357,-0.000168233
CR01,2018,tachsize_less0.25,0.000177915,3.05E-06
CR01,2018,tachsize_0.25to0.5,-8.51E-05,-0.00037038
CR01,2018,tachsize_0.5to1,0.000794017,-0.001308782
CR01,2018,tachsize_1to2,-5.75E-05,0.000407449
CR01,2018,tachsize_2to4,0.001999708,1.51E-05
CR01,2018,tachsize_4to8,0.00022485,1.44E-05
CR01,2018,tachsize_gr8,0.000133853,4.86E-06
CR01,2018,tachdisp_aquapass,0.001184008,0.00052288
CR01,2018,tachdisp_aquaact,0.000372205,-0.000218886
CR01,2018,tachdisp_aerpass,-0.000351954,0.000539673
CR01,2018,tachdisp_aeract,0.000497522,-1.11E-05
CR01,2018,tachrepcyc_less1,0.00060786,2.46E-05
CR01,2018,tachrepcyc_one,0.000961277,0.00085476
CR01,2018,tachrepcyc_gr1,0.000332446,0.001512046
CR01,2018,feeding_gra,0.000128717,-0.000543518
CR01,2018,feeding_min,0.000123977,2.07E-05
CR01,2018,feeding_xyl,0,-1.73E-05
CR01,2018,feeding_shr,0.000479014,-4.49E-05
CR01,2018,feeding_gat,0.001297307,-0.000124758
CR01,2018,feeding_aff,0.000118795,0.000420496
CR01,2018,feeding_pff,-1.23E-05,-1.27E-06
CR01,2018,feeding_pre,0.001162936,0.000207699
CR01,2018,feeding_par,0.000119354,-3.26E-05
CR01,2018,feeding_oth,3.65E-05,-0.000319902
CR01,2018,tachresist_egg,0.000832959,-0.002486559
CR01,2018,tachresist_coc,0.001773632,0.00010624
