ecotrait,basin,year,subtractive,additive
microhab_arg,CR01,2014,-0.000202097,9.35E-05
microhab_pel,CR01,2014,0.000910468,0.000884686
microhab_psa,CR01,2014,-0.001169605,0.001574038
microhab_aka,CR01,2014,-0.000891069,0.000725548
microhab_lit,CR01,2014,-0.001725779,0.00352274
microhab_phy,CR01,2014,-0.000162892,0.000590924
microhab_pom,CR01,2014,0.000202745,0.000345513
microhab_oth,CR01,2014,0.00080215,0.000308548
tachtemp_psy,CR01,2014,-0.000209205,0.000119043
tachtemp_the,CR01,2014,-9.84E-06,0.003842481
tachtemp_eut,CR01,2014,0.000458687,-0.000857922
tachsap_x,CR01,2014,-6.92E-05,0.000116642
tachsap_o,CR01,2014,0.000223691,-0.000345989
tachsap_b,CR01,2014,0.000181973,-0.00024074
tachsap_a,CR01,2014,5.75E-05,-0.000604955
tachsap_p,CR01,2014,0.000375354,-0.000212262
microhab_arg,CR01,2015,3.01E-05,0.000169425
microhab_pel,CR01,2015,-0.000486813,-0.001347012
microhab_psa,CR01,2015,-0.001234958,-0.000429426
microhab_aka,CR01,2015,1.85E-06,-0.000339388
microhab_lit,CR01,2015,-0.000610622,-0.000541082
microhab_phy,CR01,2015,-0.000223634,-2.18E-05
microhab_pom,CR01,2015,-0.00049285,2.30E-05
microhab_oth,CR01,2015,-0.000128878,-0.001048189
tachtemp_psy,CR01,2015,0.000426576,-0.001151931
tachtemp_the,CR01,2015,0.000121268,-0.000746018
tachtemp_eut,CR01,2015,0.000468884,-0.000372554
tachsap_x,CR01,2015,0.00027952,-0.000254063
tachsap_o,CR01,2015,0.000144493,-0.000537216
tachsap_b,CR01,2015,-0.000103725,-0.000506393
tachsap_a,CR01,2015,-0.000523201,-0.000140361
tachsap_p,CR01,2015,7.92E-05,-0.000334369
microhab_arg,CR01,2016,-2.80E-05,-7.14E-05
microhab_pel,CR01,2016,0.000772616,-0.000673133
microhab_psa,CR01,2016,-0.001013481,0.001676499
microhab_aka,CR01,2016,-0.000357947,-0.000202698
microhab_lit,CR01,2016,0.000362224,0.00044857
microhab_phy,CR01,2016,-0.000213899,0.001315743
microhab_pom,CR01,2016,-4.63E-05,0.00032081
microhab_oth,CR01,2016,0.000891877,-0.001107511
tachtemp_psy,CR01,2016,0.000409361,-0.000853705
tachtemp_the,CR01,2016,0.000145738,-0.000296688
tachtemp_eut,CR01,2016,0.001001847,-0.000723248
tachsap_x,CR01,2016,-7.13E-05,-0.000331766
tachsap_o,CR01,2016,0.000524489,-0.000385761
tachsap_b,CR01,2016,0.000178911,-0.000511605
tachsap_a,CR01,2016,0.000513677,0.000200805
tachsap_p,CR01,2016,0.00013668,0.00071796
microhab_arg,CR01,2017,-8.12E-05,0.000115689
microhab_pel,CR01,2017,0.001077461,-0.000720934
microhab_psa,CR01,2017,0.00038071,-0.000194999
microhab_aka,CR01,2017,0.000223398,0.000661146
microhab_lit,CR01,2017,8.49E-05,0.00091335
microhab_phy,CR01,2017,-0.001037734,0.002161055
microhab_pom,CR01,2017,-0.00032851,-5.95E-06
microhab_oth,CR01,2017,0.000616694,-0.000342062
tachtemp_psy,CR01,2017,0.000898393,-0.000626338
tachtemp_the,CR01,2017,0.000103833,-1.51E-05
tachtemp_eut,CR01,2017,-0.000311189,0.000750695
tachsap_x,CR01,2017,0.000333608,-1.10E-05
tachsap_o,CR01,2017,0.000367799,-0.000486908
tachsap_b,CR01,2017,-8.97E-05,0.00055911
tachsap_a,CR01,2017,-0.000418829,-0.000520038
tachsap_p,CR01,2017,-0.000994156,-3.98E-05
microhab_arg,CR01,2018,-0.00012913,0.000152545
microhab_pel,CR01,2018,0.001163618,-0.000992159
microhab_psa,CR01,2018,0.001291189,0.000296868
microhab_aka,CR01,2018,8.16E-05,0.001037254
microhab_lit,CR01,2018,-0.000779055,-0.000475655
microhab_phy,CR01,2018,-0.001766804,0.000247747
