basin,site,year,tax.richness,bio.richness,eco.richness
BE01,121000033,1996,7,0.171685982,0.26904984
BE01,121000033,1997,7,0.511225622,0.186330347
BE01,121000033,1998,11,0.631852491,0.436762988
BE01,121000033,1999,9,0.511225622,0.308950241
BE01,121000033,2000,8,0.414571256,0.372096941
BE01,121000033,2002,15,0.598884725,0.443181674
BE01,121000033,2004,11,0.346658695,0.467715393
BE01,121000054,1996,28,0.768110525,0.614692047
BE01,121000054,1997,28,0.641412782,0.548628949
BE01,121000054,1998,32,0.762751307,0.621802241
BE01,121000054,1999,36,0.773582415,0.589069524
BE01,121000054,2000,33,0.822799962,0.604512419
BE01,121000054,2002,29,0.751817432,0.614692047
BE01,121000054,2004,33,0.666659359,0.532777626
BE01,121000075,1996,27,0.784387653,0.589937073
BE01,121000075,1997,23,0.566183296,0.556432592
BE01,121000075,1998,23,0.747619088,0.604141172
BE01,121000075,1999,20,0.535912778,0.538123157
BE01,121000075,2000,25,0.775996399,0.579901063
BE01,121000075,2002,30,0.715589427,0.827583574
BE01,121000075,2004,34,0.754011026,0.607687268
BE01,121000076,1996,24,0.586741991,0.518303173
BE01,121000076,1997,15,0.528872282,0.498121649
BE01,121000076,1998,13,0.428782946,0.538123157
BE01,121000076,1999,21,0.566183296,0.524035688
BE01,121000076,2000,19,0.727647147,0.523681381
BE01,121000076,2002,29,0.746885084,0.619117954
BE01,121000076,2004,28,0.73067718,0.63311608
BE01,121000145,1996,17,0.600932765,0.467861109
BE01,121000145,1997,14,0.49853852,0.561213373
BE01,121000145,1998,16,0.544961526,0.436257048
BE01,121000145,1999,21,0.754398786,0.507447135
BE01,121000145,2000,20,0.724111546,0.597129702
BE01,121000145,2002,19,0.566223184,0.527460765
BE01,121000145,2004,11,0.473669995,0.503386338
BE01,121000146,1996,16,0.660150468,0.519051921
BE01,121000146,1997,16,0.493575378,0.565894357
BE01,121000146,1998,20,0.50988882,0.548769359
BE01,121000146,1999,27,0.596636049,0.563163236
BE01,121000146,2000,19,0.606041913,0.451391437
BE01,121000146,2002,23,0.764806836,0.588864188
BE01,121000146,2004,18,0.723217517,0.53938573
BE02,121000059,1995,29,0.581949382,0.432890241
BE02,121000059,1996,22,0.46480898,0.316131819
BE02,121000059,1997,22,0.46911564,0.313093425
BE02,121000059,1998,20,0.511470994,0.324237445
BE02,121000059,1999,18,0.361874615,0.279697573
BE02,121000121,1995,24,0.533188824,0.391934451
