basin,year,biotrait,subtractive,additive
BE01,1997,tachsize_less0.25,0.000113886,-2.04E-05
BE01,1997,tachsize_0.25to0.5,0.001041747,-0.000349439
BE01,1997,tachsize_0.5to1,-0.000451186,-0.000528026
BE01,1997,tachsize_1to2,0.000132128,-4.51E-05
BE01,1997,tachsize_2to4,5.23E-05,-0.000181313
BE01,1997,tachsize_4to8,4.65E-05,0.001790356
BE01,1997,tachsize_gr8,-0.000502746,-7.75E-06
BE01,1997,tachdisp_aquapass,-0.000298005,0.000145496
BE01,1997,tachdisp_aquaact,-0.000181105,0.002629636
BE01,1997,tachdisp_aerpass,-0.000246744,-0.000154355
BE01,1997,tachdisp_aeract,-0.002432897,-1.20E-05
BE01,1997,tachrepcyc_less1,2.38E-05,0.000280572
BE01,1997,tachrepcyc_one,0.001115108,-0.002059414
BE01,1997,tachrepcyc_gr1,0.000364395,-0.00086039
BE01,1997,feeding_gra,0.000561031,0.000550496
BE01,1997,feeding_min,-2.46E-05,4.33E-05
BE01,1997,feeding_xyl,-2.95E-06,0
BE01,1997,feeding_shr,8.45E-05,0.001589615
BE01,1997,feeding_gat,-0.000403893,0.000235078
BE01,1997,feeding_aff,-0.002071283,-9.83E-05
BE01,1997,feeding_pff,-0.000681773,-0.00059014
BE01,1997,feeding_pre,0.000202189,-0.000285967
BE01,1997,feeding_par,-7.93E-05,0.000676779
BE01,1997,feeding_oth,-0.000583344,-0.000278605
BE01,1997,tachresist_egg,0.000425112,-0.00024068
BE01,1997,tachresist_coc,-0.001193155,-0.000541631
BE01,1997,tachresist_hou,-0.000361848,-8.79E-05
BE01,1997,tachresist_did,0.000571301,0.001189356
BE01,1997,tachresist_non,-0.002623912,2.77E-05
BE01,1997,tachaqua_egg,-0.000154849,-0.000619043
BE01,1997,tachaqua_larva,0.000566005,-0.000421927
BE01,1997,tachaqua_nymph,-0.002401231,-0.000489705
BE01,1997,tachaqua_adult,-0.000548195,-0.000782962
BE01,1998,tachsize_less0.25,1.87E-05,-1.64E-05
BE01,1998,tachsize_0.25to0.5,0.000884216,-0.000281247
BE01,1998,tachsize_0.5to1,0.000921693,6.54E-05
BE01,1998,tachsize_1to2,-0.000524536,0.000678022
BE01,1998,tachsize_2to4,0.000292889,-0.000159297
BE01,1998,tachsize_4to8,-0.001692788,0.000318241
BE01,1998,tachsize_gr8,1.44E-05,-1.26E-05
BE01,1998,tachdisp_aquapass,-0.000608544,-4.00E-05
BE01,1998,tachdisp_aquaact,-0.003088905,0.000445033
BE01,1998,tachdisp_aerpass,-6.13E-05,-1.33E-05
BE01,1998,tachdisp_aeract,-0.000488669,0.000759092
BE01,1998,tachrepcyc_less1,-0.000454358,0.000213613
BE01,1998,tachrepcyc_one,0.000147419,0.002296586
BE01,1998,tachrepcyc_gr1,0.001633265,-0.000138768
BE01,1998,feeding_gra,-0.000974613,0.000127938
BE01,1998,feeding_min,1.81E-05,2.82E-05
BE01,1998,feeding_xyl,-4.88E-06,-5.27E-06
BE01,1998,feeding_shr,-0.001991916,0.000470178
BE01,1998,feeding_gat,0.000464912,-0.000261939
BE01,1998,feeding_aff,0.000169752,0.000801735
BE01,1998,feeding_pff,0.000273993,0.003290308
BE01,1998,feeding_pre,0.000285486,0.000687655
BE01,1998,feeding_par,-0.00015338,0.000415099
BE01,1998,feeding_oth,0.00043537,0.00031467
BE01,1998,tachresist_egg,0.000115703,0.003180863
BE01,1998,tachresist_coc,0.001074897,0.000822606
BE01,1998,tachresist_hou,8.40E-05,0.000490103
BE01,1998,tachresist_did,-0.001428589,0.000148699
BE01,1998,tachresist_non,0.001071507,0.000352898
BE01,1998,tachaqua_egg,-6.22E-05,0.000139005
BE01,1998,tachaqua_larva,-7.09E-07,0.000529226
BE01,1998,tachaqua_nymph,-0.000369658,-0.00134869
BE01,1998,tachaqua_adult,0.000884363,0.00018819
BE01,1999,tachsize_less0.25,6.03E-05,2.37E-05
BE01,1999,tachsize_0.25to0.5,-0.001609865,-0.000227946
BE01,1999,tachsize_0.5to1,-0.000317375,-0.000503549
BE01,1999,tachsize_1to2,-0.00076718,0.001380706
BE01,1999,tachsize_2to4,-0.001224004,-0.000682466
BE01,1999,tachsize_4to8,-0.000217345,0.00038159
BE01,1999,tachsize_gr8,4.64E-05,3.01E-05
BE01,1999,tachdisp_aquapass,0.00039593,0.000195313
BE01,1999,tachdisp_aquaact,0.000483269,1.06E-05
BE01,1999,tachdisp_aerpass,4.00E-05,7.20E-05
BE01,1999,tachdisp_aeract,-0.000548131,0.001849796
BE01,1999,tachrepcyc_less1,-0.000423318,0.000140599
BE01,1999,tachrepcyc_one,-0.003660765,0.00138346
BE01,1999,tachrepcyc_gr1,0.001475155,-0.001206877
BE01,1999,feeding_gra,-2.13E-05,-0.000411814
BE01,1999,feeding_min,-6.88E-05,-1.69E-05
BE01,1999,feeding_xyl,7.19E-06,-3.10E-06
BE01,1999,feeding_shr,-0.000608362,0.000554085
BE01,1999,feeding_gat,0.000244474,-0.000452762
BE01,1999,feeding_aff,-0.000388345,-0.000255169
BE01,1999,feeding_pff,-0.001666846,-2.92E-05
BE01,1999,feeding_pre,0.000618417,0.000933697
BE01,1999,feeding_par,-0.000435094,0.000525279
BE01,1999,feeding_oth,-0.000557531,0.000101131
BE01,1999,tachresist_egg,-0.001555506,-0.000631705
BE01,1999,tachresist_coc,0.00082336,-0.000345629
BE01,1999,tachresist_hou,-0.000490937,-5.05E-05
BE01,1999,tachresist_did,0.000301641,0.000540696
BE01,1999,tachresist_non,-0.002259541,-0.000144082
BE01,1999,tachaqua_egg,6.49E-05,-0.000631822
BE01,1999,tachaqua_larva,-0.000295582,-0.000663419
BE01,1999,tachaqua_nymph,0.001022837,0
BE01,1999,tachaqua_adult,-4.61E-05,-0.000782271
BE01,2000,tachsize_less0.25,0.000141203,-1.33E-06
BE01,2000,tachsize_0.25to0.5,0.000133417,0.000353639
BE01,2000,tachsize_0.5to1,0.000160403,-0.000278073
BE01,2000,tachsize_1to2,-0.000470586,0
BE01,2000,tachsize_2to4,-9.69E-05,0.000293858
BE01,2000,tachsize_4to8,-0.000675304,-7.45E-05
BE01,2000,tachsize_gr8,0.000125459,-1.03E-06
BE01,2000,tachdisp_aquapass,0.000200163,-0.000337349
BE01,2000,tachdisp_aquaact,-0.000586716,-6.25E-05
BE01,2000,tachdisp_aerpass,8.44E-05,-0.000271739
BE01,2000,tachdisp_aeract,-0.001944108,0.001622575
BE01,2000,tachrepcyc_less1,-0.000343635,9.08E-05
BE01,2000,tachrepcyc_one,0.000193328,0.000927392
BE01,2000,tachrepcyc_gr1,-0.000555879,0.000538089
BE01,2000,feeding_gra,-0.000911271,0.000528986
BE01,2000,feeding_min,-1.66E-05,2.21E-05
BE01,2000,feeding_xyl,4.47E-06,9.89E-06
BE01,2000,feeding_shr,-0.000581001,-0.000307175
BE01,2000,feeding_gat,0.001502919,0.000456146
BE01,2000,feeding_aff,0.00062047,0.000218291
BE01,2000,feeding_pff,-0.002028913,0.000864033
BE01,2000,feeding_pre,-0.000883767,-0.000799184
BE01,2000,feeding_par,-0.000573916,1.86E-05
BE01,2000,feeding_oth,0.000118963,0.000119172
BE01,2000,tachresist_egg,-0.00071414,-0.000311443
BE01,2000,tachresist_coc,-0.001043526,0.002056121
BE01,2000,tachresist_hou,4.53E-05,0.000361667
BE01,2000,tachresist_did,0.000515071,-0.000485399
BE01,2000,tachresist_non,0.001773697,-0.000439825
BE01,2000,tachaqua_egg,0.000540476,-0.000130745
BE01,2000,tachaqua_larva,0.000440019,-1.50E-06
BE01,2000,tachaqua_nymph,0.000608369,-0.000416009
BE01,2000,tachaqua_adult,0.00026285,9.00E-05
BE01,2002,tachsize_less0.25,-0.000190259,4.11E-05
BE01,2002,tachsize_0.25to0.5,-0.000672149,0.00014393
BE01,2002,tachsize_0.5to1,-0.000347357,7.30E-05
BE01,2002,tachsize_1to2,-0.001061007,-0.000293236
BE01,2002,tachsize_2to4,0.000218704,-0.00014851
BE01,2002,tachsize_4to8,-3.53E-06,0.000214064
BE01,2002,tachsize_gr8,-0.000129293,0.000149124
BE01,2002,tachdisp_aquapass,0.000801814,0.000400194
BE01,2002,tachdisp_aquaact,-0.00076794,0.000240401
BE01,2002,tachdisp_aerpass,2.04E-05,-7.90E-05
BE01,2002,tachdisp_aeract,0,-0.000439404
BE01,2002,tachrepcyc_less1,0.00012074,-0.00016156
BE01,2002,tachrepcyc_one,-0.000127133,-0.001896068
BE01,2002,tachrepcyc_gr1,0.001303314,-0.000691301
BE01,2002,feeding_gra,-0.00054292,-8.42E-05
BE01,2002,feeding_min,-3.81E-05,2.01E-05
BE01,2002,feeding_xyl,-1.10E-05,-1.55E-06
BE01,2002,feeding_shr,0.000152598,-9.99E-05
BE01,2002,feeding_gat,-0.002002109,0.001427497
BE01,2002,feeding_aff,-0.000206782,-0.000280449
BE01,2002,feeding_pff,-0.001312629,0.000973186
BE01,2002,feeding_pre,-0.000735279,-0.001498318
BE01,2002,feeding_par,2.77E-05,-0.000175635
BE01,2002,feeding_oth,0.000190112,-0.000151988
BE01,2002,tachresist_egg,-0.000343524,0.001028704
BE01,2002,tachresist_coc,-0.001530774,0.00253418
BE01,2002,tachresist_hou,-0.000139472,-8.21E-05
BE01,2002,tachresist_did,0.000619549,-0.000847465
BE01,2002,tachresist_non,0,-9.14E-05
BE01,2002,tachaqua_egg,3.06E-05,-0.00042445
BE01,2002,tachaqua_larva,0.000496083,7.06E-05
BE01,2002,tachaqua_nymph,-0.000808129,-0.000480129
BE01,2002,tachaqua_adult,3.70E-05,-4.68E-05
BE01,2004,tachsize_less0.25,6.61E-05,0.000947527
BE01,2004,tachsize_0.25to0.5,0.000592932,0.00049152
BE01,2004,tachsize_0.5to1,0.000700013,0.00150704
BE01,2004,tachsize_1to2,0.00022003,0.002202548
BE01,2004,tachsize_2to4,0.000648917,0.001271319
BE01,2004,tachsize_4to8,-7.41E-05,1.16E-05
BE01,2004,tachsize_gr8,1.78E-05,0.000602931
BE01,2004,tachdisp_aquapass,-0.000193864,0.000645388
BE01,2004,tachdisp_aquaact,0.000149913,0.000289816
BE01,2004,tachdisp_aerpass,0,-0.000101657
BE01,2004,tachdisp_aeract,0.00023985,0.000452909
BE01,2004,tachrepcyc_less1,0.000451419,0.000147752
BE01,2004,tachrepcyc_one,0.001883465,0.001004125
