basin,year,ecotrait,subtractive,additive
BE01,1997,microhab_arg,-0.000641332,0.000117932
BE01,1997,microhab_pel,9.88E-06,0.000134925
BE01,1997,microhab_psa,-0.001010386,-0.000297553
BE01,1997,microhab_aka,-8.77E-05,0.000167758
BE01,1997,microhab_lit,-0.002690141,-0.001339547
BE01,1997,microhab_phy,0.000373726,0.008304666
BE01,1997,microhab_pom,-0.001313355,-1.88E-05
BE01,1997,microhab_oth,-0.001269643,0.001231186
BE01,1997,tachtemp_psy,-0.001849739,0.000646927
BE01,1997,tachtemp_the,0.001011772,0.000471474
BE01,1997,tachtemp_eut,-0.001015269,0.001416588
BE01,1997,tachsap_x,9.72E-05,-0.000238609
BE01,1997,tachsap_o,-0.000379476,-0.000453905
BE01,1997,tachsap_b,0.000620438,-0.00105134
BE01,1997,tachsap_a,0.000421261,0.000462974
BE01,1997,tachsap_p,-0.000186247,-0.00012951
BE01,1998,microhab_arg,-0.000288388,-0.000158068
BE01,1998,microhab_pel,0.00062991,-0.00035629
BE01,1998,microhab_psa,7.39E-05,4.99E-05
BE01,1998,microhab_aka,0.000265215,2.95E-05
BE01,1998,microhab_lit,-2.94E-05,0.006354601
BE01,1998,microhab_phy,-0.008678176,0.00092342
BE01,1998,microhab_pom,0.000177611,0.000146132
BE01,1998,microhab_oth,2.71E-05,0.000148204
BE01,1998,tachtemp_psy,-0.000599322,0.000290505
BE01,1998,tachtemp_the,-0.000601026,-0.000735209
BE01,1998,tachtemp_eut,-0.002287505,0.002168549
BE01,1998,tachsap_x,0.000237383,0.001102695
BE01,1998,tachsap_o,0.000298121,-0.000116812
BE01,1998,tachsap_b,0.000652691,0.001269151
BE01,1998,tachsap_a,-0.000487707,-2.13E-05
BE01,1998,tachsap_p,-0.000485865,-0.000152278
BE01,1999,microhab_arg,-5.02E-05,-0.000175724
BE01,1999,microhab_pel,0.000279522,-0.001013013
BE01,1999,microhab_psa,-0.000247607,-0.000139284
BE01,1999,microhab_aka,0.000154037,0.000341161
BE01,1999,microhab_lit,-0.003394947,-0.000624718
BE01,1999,microhab_phy,0.00039085,0.000717621
BE01,1999,microhab_pom,-0.000669379,-0.000273407
BE01,1999,microhab_oth,-0.001652788,0.002169969
BE01,1999,tachtemp_psy,0.000474257,-0.000132875
BE01,1999,tachtemp_the,-0.000151744,-0.00041976
BE01,1999,tachtemp_eut,-0.002191092,-0.001806423
BE01,1999,tachsap_x,-0.000423172,-4.26E-06
BE01,1999,tachsap_o,0.000748003,-0.00018525
BE01,1999,tachsap_b,-0.000668917,-0.000921967
BE01,1999,tachsap_a,0.00023094,0.001643077
BE01,1999,tachsap_p,0.000155926,-8.21E-05
BE01,2000,microhab_arg,0.00025689,0.000264571
BE01,2000,microhab_pel,0.000857766,-0.000383864
BE01,2000,microhab_psa,0.001057912,-4.80E-05
BE01,2000,microhab_aka,0.000340773,-0.000245086
BE01,2000,microhab_lit,-0.002182963,-0.000919356
BE01,2000,microhab_phy,-0.003184279,0.000866426
BE01,2000,microhab_pom,-0.000164678,0.000362445
BE01,2000,microhab_oth,-0.001780083,0
BE01,2000,tachtemp_psy,-0.000901078,-0.000246611
BE01,2000,tachtemp_the,-0.001840297,-0.000528377
BE01,2000,tachtemp_eut,-0.00077441,7.08E-05
BE01,2000,tachsap_x,-0.000964592,6.55E-05
BE01,2000,tachsap_o,0.000539691,-0.000889792
BE01,2000,tachsap_b,0.000698473,1.24E-06
BE01,2000,tachsap_a,-0.002047066,-0.000657333
BE01,2000,tachsap_p,-0.000174092,-0.00013449
BE01,2002,microhab_arg,-0.000463103,-0.000109761
BE01,2002,microhab_pel,0.000852283,-0.000227814
BE01,2002,microhab_psa,-0.001108788,0.000951272
BE01,2002,microhab_aka,-0.000675087,-7.28E-05
BE01,2002,microhab_lit,-0.001056767,0.001440544
BE01,2002,microhab_phy,0.001139393,-0.001399971
BE01,2002,microhab_pom,-0.000118139,-0.000130353
BE01,2002,microhab_oth,0.000129155,0.00163282
BE01,2002,tachtemp_psy,-0.000454525,0.001747934
BE01,2002,tachtemp_the,-6.72E-06,0.000383105
BE01,2002,tachtemp_eut,0.001028946,-0.001961414
BE01,2002,tachsap_x,7.76E-05,0.000120955
BE01,2002,tachsap_o,-0.000333922,-0.00054081
BE01,2002,tachsap_b,-0.000363138,-0.000274231
BE01,2002,tachsap_a,0.000722977,3.82E-06
BE01,2002,tachsap_p,-0.000418353,-0.000131692
BE01,2004,microhab_arg,0,0.000688792
BE01,2004,microhab_pel,0.000476116,-0.000409909
BE01,2004,microhab_psa,0.000128071,0.000144515
BE01,2004,microhab_aka,0.000253966,0.000412675
BE01,2004,microhab_lit,0.000600659,-0.000316277
BE01,2004,microhab_phy,0.00137797,-0.000737131
BE01,2004,microhab_pom,-0.000236934,0.000304452
BE01,2004,microhab_oth,0.000550355,-0.000725951
BE01,2004,tachtemp_psy,0.000443046,-0.000732292
BE01,2004,tachtemp_the,-0.000633774,0.000945905
BE01,2004,tachtemp_eut,0.001346244,0.001540296
BE01,2004,tachsap_x,-0.000364068,0.000272655
BE01,2004,tachsap_o,0.001010486,0.000948059
BE01,2004,tachsap_b,0.000776419,0.000315326
