basin,year,tax_subtraction,tax_addition,bio_subtraction,bio_addition,eco_subtraction,eco_addition
BE01,1997,-0.017928668,0.063277669,0.000503306,-0.009943084,0.009425125,-0.007908954
BE01,1998,-0.021837162,0.034032467,0.014485852,-0.003114251,0.010942635,-0.011095468
BE01,1999,-0.006039018,-0.023321679,0.001083445,-0.011577938,-0.00090695,-0.007016321
BE01,2000,-0.042569805,-0.043709799,0.00465364,-0.003955324,-0.002421979,-0.010262032
BE01,2002,-0.0004809,0.024225454,-0.000657402,-0.006950859,0.001431608,-0.001048157
BE01,2004,0.004615643,0.045150481,0.012143153,0.007706687,0.006769103,0.005666172
BE02,1996,-0.014719889,-0.013698057,0.000937904,-0.003910385,0.004830549,-0.003629463
BE02,1997,-0.007197044,0.012630045,0.005517309,0.001456342,0.002296462,-0.002657039
BE02,1998,0.01124525,0.019044862,-0.004904577,-0.004286288,0.002081944,0.002309637
BE02,1999,-0.000396209,0.008956425,0.008681426,0.004284099,0.003993045,-0.001966672
BE03,2002,0.014642731,-0.00174256,-0.002122419,-0.00368239,-0.002915155,0.003014986
BE03,2003,0.002762737,-0.002709177,0.006689544,-0.000181614,-0.001617729,-0.001226084
BE03,2004,-0.018756975,0.010202298,0.002054856,-0.004291488,0.000186205,-0.00390797
BE03,2005,-0.006698231,-0.004776721,0.001325714,0.001006827,0.004512403,-0.002588185
BE04,2000,-0.008682949,0.01725881,-0.00245048,0.008749159,-0.012957453,0.004087644
BE04,2002,0.018723221,0.060460252,0.009817395,0.007965586,0.019704197,0.008398139
BE04,2007,-0.00445139,0.004794731,-0.008117847,-0.020219125,-0.005492297,-0.018818219
BE04,2008,0.009674941,-0.014915469,0.003446432,0.007862921,0.008613363,0.022601799
BE04,2009,0.015907601,-0.041801465,-0.005974591,-0.008222108,-0.007619007,0.006801053
BE04,2010,-0.019057831,-0.032605416,-0.004162573,-0.00335382,-0.018303783,-0.015231759
BE04,2011,0.009566233,0.088342775,0.016629504,7.10E-05,0.001890028,0.008935324
BE04,2013,-0.032201433,-0.023797596,-0.003248839,-0.021549204,-0.007892304,0.001543991
BE04,2015,0.056238639,0.076553318,0.029976117,0.003127009,0.002654701,0.011261856
BE04,2016,0.006692154,-0.063338076,-0.006568351,-0.001595886,-0.012754291,-0.009404518
BE04,2018,0.059445175,-0.009250398,-0.00434498,0.012834179,0.000748073,0.013744037
BE04,2019,0.034511598,-0.034971705,0.008587638,0.003910803,0.007448679,0.00449188
BE04,2020,0.023562155,-0.016011204,0.0039636,0.003643943,0.002505479,-0.009501706
BE04,2022,-0.000662536,-0.032423637,0.013207545,-0.018871071,0.015264964,-0.001079087
BE04,2023,0.020898694,0.022980045,-0.00724905,0.000920761,-0.008028274,-0.000366244
BE05,1996,-0.040773373,0.030004575,0.03400495,0.004628949,0.011253843,0.00338639
BE05,1997,-0.047470706,-0.01344988,-0.01523326,-0.023993908,-0.011347193,-0.011268224
BE05,1999,0.018281569,0.016805044,0.029371167,0.005110503,0.008559696,0.001039471
BE05,2001,-0.000984187,0.056850809,-0.011041659,-0.031299923,0.007879609,-0.014881799
BE05,2002,-0.036714617,-0.003193085,0.002942473,-0.007807492,-0.004663439,-0.010492806
BE05,2003,0.004303984,-0.039034945,0.001365895,-0.003715288,0.006998379,-0.006687491
BE05,2004,0.003432343,0.040873119,0.019746758,0.004623629,0.005469225,-0.002209581
BE05,2005,0.011653558,-0.047709878,-0.010050971,-0.015456314,-0.007011167,-0.001769537
BE05,2006,0.011377637,0.044592241,0.012401392,0.01249756,0.011301028,0.007283389
CR01,2014,-0.021125854,0.020484384,-0.004919138,0.007400323,-0.001227126,0.009861832
CR01,2015,-0.086852203,-0.038564819,-0.003617341,-0.003353389,-0.002252751,-0.007577454
CR01,2016,0.004775196,-0.015681882,0.001794581,0.000364075,0.003206456,-0.000477129
CR01,2017,-0.001636837,-0.053707989,-0.001866609,0.007923414,0.000825478,0.002197862
CR01,2018,0.025931852,0.261596284,0.000138034,0.011178402,0.000361214,-0.001062211
CR01,2019,0.008605182,-0.014475832,-0.005192936,0.003965814,1.81E-05,0.000918409
CR01,2020,-0.014381712,-0.135622667,-0.006788703,-0.00179311,4.40E-06,-0.00183545
CR01,2021,-0.021125854,0.020484384,-0.004919138,0.007400323,-0.001227126,0.009861832
CR02,2013,-0.016035974,0.211213653,0.01310902,0.01860153,0.012802503,0.005808433
CR02,2014,0.00518371,-0.027523105,-0.00452904,0.009795473,0.004987634,0.00335142
CR02,2015,-0.035632567,0.023862049,0.003065832,0.007657094,-0.002154651,-0.00764454
CR02,2016,-0.041020941,0.110864496,-0.008380295,-0.004554696,-0.004129172,-0.000297891
CR02,2017,-0.072203287,0.028927224,0.004505744,-0.004156902,0.001677265,0.004550424
CR02,2018,-0.016035974,0.211213653,0.01310902,0.01860153,0.012802503,0.005808433
DE01,2000,-0.002670933,-0.016019148,-0.013465864,0.013096257,0.006485604,0.01226777
DE01,2001,0.023841954,-0.03309366,-0.00688936,-0.015316654,0.012632675,-0.000758142
DE01,2002,-0.065922227,0.038562925,-0.019757246,-0.023029352,-0.010488808,-0.027900861
DE01,2003,-0.013246707,0.080316454,0.006937963,0.020297553,0.000169841,0.016114983
DE01,2004,-0.021575789,0.076192069,0.010040209,0.015399931,0.000153591,-0.002476596
DE01,2005,-0.059377056,0.00123926,-0.017908985,-0.003128336,-0.010617456,0.015238605
DE01,2006,0.030515542,-0.001789683,0.001246888,0.034445368,-0.000468198,-0.002233991
DE01,2007,-0.02011016,-0.064692725,-0.014000229,-0.016353409,-0.000919953,-0.0090456
DE01,2008,0.022425964,-0.100417424,-0.013148432,-0.015528737,0.019983842,0.009967064
DE01,2009,0.022947276,0.181324394,0.016807571,0.067141246,0.014130449,0.011315194
DE01,2010,0.052129035,-0.072638758,-0.027401344,-0.027850604,-0.031045835,-0.003028432
DE01,2011,-0.083968986,-0.055930917,-0.005865953,-0.0116822,-0.020695496,-0.01575876
DE01,2012,-0.002670933,-0.016019148,-0.013465864,0.013096257,0.006485604,0.01226777
DE02,2000,-0.027838162,-0.025580046,-0.001256318,-0.000129397,-0.002161584,0.000318512
DE02,2001,-0.013133453,-0.013764481,0.010322518,0.011807896,0.003248304,0.016338756
DE02,2002,0.038060639,-0.054992494,-0.010385351,-0.009287298,-0.006180913,-0.004466616
DE02,2003,0.001416956,0.276205786,-0.00143594,0.025075707,-0.001212299,0.013883563
DE02,2004,-0.074142031,0.012011273,-0.022246349,0.001208235,-0.014797677,-0.006312792
DE02,2005,-0.008820404,-0.140864062,0.003802904,0.004172682,0.00564459,0.009543926
DE02,2006,-0.02611491,0.061797163,-0.00944197,-0.000866416,-0.007946814,-0.000565041
DE02,2007,-0.042191429,-0.005754912,-0.004270664,0.01466897,-0.000617233,-0.003555173
DE02,2008,0.014301723,-0.111046909,-0.004509299,-0.015289787,0.003888376,-0.004269362
DE02,2009,0.027438121,0.055695273,0.009643578,0.024055415,0.002376859,0.005107802
DE02,2010,0.042301886,0.042928798,-0.00649074,-0.005934498,-0.007885514,0.008088926
DE02,2011,0.000211368,-0.078418544,-0.002635686,0.004483673,0.002893142,-0.004415393
DE02,2012,0.000606613,0.057001816,0.004503981,-0.004160589,0.003572251,0.006308772
DE02,2013,-0.010218225,-0.097259655,0.003983635,-0.000349341,-0.005982733,0.006339823
DE02,2014,-0.017624548,0.043763356,-0.00407576,-0.010202679,0.000961465,-0.001255977
DE02,2015,-0.01896647,0.041244078,-0.001703552,-0.001775187,-0.008952746,-0.003306501
DE02,2016,0.034048408,0.028688118,-0.001404808,0.007068962,-0.000621582,-0.00423045
DE02,2018,-0.027838162,-0.025580046,-0.001256318,-0.000129397,-0.002161584,0.000318512
DE03,2003,-0.001010353,0.041241094,-0.0120362,0.010121297,0.002007968,0.010008129
DE03,2004,-0.035777683,-0.040706939,-0.008105022,-0.002597638,-0.017945581,-0.007291091
DE03,2005,-0.032512607,-0.026475856,0.001923518,0.010081575,-0.003127592,-0.002789705
DE03,2006,0.002780638,0.029296472,-0.009262377,-0.003578111,-0.005827722,-0.000862247
DE03,2007,0.009682927,0.096694718,0.00320701,0.011217513,0.001554676,0.005133509
DE03,2008,0.007473149,0.072945616,0.001279659,0.007554353,-0.00086464,-0.003664238
DE03,2009,-0.028946068,0.335831767,-0.004037739,0.002533772,0.011716252,0.025583114
DE03,2010,-0.147558682,-0.166465541,-0.014422754,0.004369668,-0.019857668,-0.013716586
DE03,2011,0.004748689,-0.026397062,-0.004548971,0.031497361,-0.000667725,0.030717987
DE03,2012,-0.067770837,-0.084730662,-0.01976604,0.004002446,-0.023858709,-0.01170307
DE03,2013,0.019884094,0.021163463,0.00650685,0.007929313,0.024477088,0.006871576
DE03,2014,0.055656701,0.113494113,0.006916297,-0.002306451,0.013847167,0.000443571
DE03,2015,-0.025877478,-0.085009032,-0.012133872,-0.015015077,-0.018992855,-0.016455911
DE03,2016,0.005506178,-0.016963251,-0.006480852,0.014024696,-0.002131327,-0.004364657
DE03,2018,-0.001010353,0.041241094,-0.0120362,0.010121297,0.002007968,0.010008129
DE04,2001,-0.008970246,0.021870834,0.006741082,-0.00336447,0.011950219,0.021297262
DE04,2002,-0.08073626,-0.061509996,-0.01788277,-0.01385407,0.005147271,-0.001628734
DE04,2003,0.022447114,0.205710314,0.01113784,0.024587076,0.011502572,0.013437346
DE04,2004,-0.02688033,0.107089261,-0.007026605,0.014542811,-0.021301932,-0.00360994
DE04,2005,0.015067274,-0.0279034,-0.000831145,-0.014212315,-0.007196737,-0.007164759
DE04,2006,-0.0889391,-0.158248983,-0.037480427,-0.02110284,-0.00660024,-0.01914055
DE04,2007,-0.022532248,0.227970916,0.016785546,0.023009617,0.011316233,0.008210586
DE04,2008,-0.152837314,0.056822231,-0.00556307,0.006575195,-0.0024793,0.018534283
DE04,2009,-0.013972315,-0.041401728,0.00262635,-0.000719505,0.010937685,0.007315443
DE04,2010,0.093179756,0.017345079,0.02059386,0.025040381,0.012133185,0.003787583
DE04,2012,-0.011660457,-0.070225616,-0.029644736,-0.015352889,-0.01428844,-0.03512227
DE04,2013,0.017376392,0.040203321,0.013022679,0.043922579,0.017622495,0.028961687
DE04,2015,-0.047426112,0.191802864,-0.031426494,-0.011199197,-0.023443957,0.017406034
DE04,2016,-0.111794246,-0.059514515,-0.013307548,0.020066121,-0.030290571,-0.00315764
DE04,2018,-0.008970246,0.021870834,0.006741082,-0.00336447,0.011950219,0.021297262
DE05,2000,-0.016844681,0.088814951,0.005526114,0.010395263,0.007439568,0.003517905
DE05,2001,-0.013021689,0.211974715,-0.010916849,-0.010458602,-0.008713345,-0.001707526
DE05,2002,-0.06656714,-0.049145971,0.006767541,0.007659185,-0.002916221,-0.00336701
DE05,2003,0.0188873,0.019467083,0.014621936,0.039271061,0.015532607,0.019519103
DE05,2004,0.027528257,0.004092665,-0.01657296,-0.015331467,-0.002874034,-0.006277013
DE05,2005,-0.041100735,-0.091625388,-0.011709175,-0.00259301,-0.009535384,-0.006841817
DE05,2006,0.058482113,-0.006511,0.005091601,0.026111755,0.00706002,0.013422401
DE05,2007,0.028374686,0.164534871,0.000666467,0.003274539,0.008283529,0.017988285
DE05,2008,-0.047382049,-0.084562387,-0.011647837,-0.018750615,-0.013812047,-0.017329528
DE05,2009,-0.009524334,-0.018355456,0.003468031,0.024902897,0.001814606,0.006931606
DE05,2010,-0.057107112,0.015684084,-0.02041469,-0.005164973,-0.010423271,-0.004380017
DE05,2011,0.025661119,-0.046690665,-0.002034034,-0.000868103,0.000809928,-0.000462897
DE05,2012,0.031541954,0.096346951,0.010349001,-0.005495615,-0.001147799,-0.001720344
DE05,2013,-0.031736752,0.006341385,0.012753829,0.002000651,0.009931939,0.011302784
DE05,2014,-0.015873016,0.028174603,-0.000334037,-0.001180394,-0.001256684,-0.004533697
DE05,2015,-0.043561854,0.053252505,-0.003950467,-0.01508008,-0.01059457,0.005181056
DE05,2016,-0.085251723,-0.050906684,-0.001251114,0.012730348,0.002965858,0.010569887
DE05,2018,-0.016844681,0.088814951,0.005526114,0.010395263,0.007439568,0.003517905
DE06,2000,-0.119093002,-0.000645907,0.00681915,0.001878212,-0.001036353,0.001021453
DE06,2001,-0.137556233,-0.195140114,-0.008532654,-0.020633924,-0.002569523,0.003103387
DE06,2002,-0.015519848,0.225129816,0.011030634,0.018821631,-0.003742865,0.001751499
DE06,2003,0.017342351,0.065714015,-0.005250036,-0.016612351,0.001539659,-0.005981616
DE06,2004,-0.030930757,-0.036875969,0.003000814,-0.005436847,0.000600247,-0.010587543
DE06,2005,-0.05254566,0.010656977,-0.00130571,0.004981664,0.002680688,0.020126559
DE06,2006,-0.007974015,0.07074277,0.001752481,-0.017781013,-0.005783919,-0.014053664
DE06,2007,-0.200405672,-0.021335802,-0.000880541,0.014833364,-0.006391181,0.009901222
DE06,2008,-0.03773498,0.064347711,-0.013408663,-0.002806316,-0.0002248,-0.002905008
DE06,2009,-0.07433641,-0.007729711,0.000149336,-0.009180501,0.001167414,-0.000662972
DE06,2010,0.036739858,0.311777124,0.014204472,0.034254538,0.008982074,0.001536894
DE06,2012,-0.06114726,-0.141310748,-0.006005033,-0.01416185,0.007502794,0.001813614
DE06,2013,-0.004458246,0.023554118,0.006074711,-0.018463397,-0.005844944,-0.01936117
DE06,2015,-0.051131684,0.066380575,-0.011090397,0.001995599,0.021273638,-0.005792994
DE06,2015,0.08899378,-0.05495545,0.012963065,0.013074806,0.012495235,-0.005286752
DE06,2018,-0.119093002,-0.000645907,0.00681915,0.001878212,-0.001036353,0.001021453
DE07,2004,-0.091047963,-0.117094134,0.010352446,-0.001509856,0.005560131,-0.005932216
DE07,2005,0.001238727,-0.020586968,0.009209115,0.013098649,-0.003399203,0.013007324
DE07,2006,0.020345008,0.029503181,-0.005733118,-0.027621567,0.004206833,-0.015197627
DE07,2007,-0.079685145,-0.006292157,-0.011425637,0.002993259,-0.011965271,-0.000932486
DE07,2008,-0.030526384,-0.122906085,-0.001531652,0.000312641,-0.001350853,-0.000797227
DE07,2009,-0.049992112,0.080117467,-0.009224082,0.011501092,-0.008259227,0.01735665
DE07,2010,-0.013603607,-0.005687212,0.000295391,0.013188684,0.002414227,0.017093955
DE07,2011,0.021824216,0.085611806,0.013188043,-0.000553444,0.005862209,-0.007630029
DE07,2012,-0.004852535,-0.011086301,0.00171801,-0.004252554,-0.001046125,-0.007847006
DE07,2013,-0.045119593,-0.025048457,-0.013086475,0.00081816,0.000241828,0.000360861
DE07,2014,-0.016938046,0.12764413,-0.001104795,0.007194037,0.003988063,0.012680616
DE07,2015,-0.071090582,0.068892227,-0.009144348,0.010630152,-0.012307867,-0.000145328
DE07,2016,-0.009477539,0.151759033,0.000517603,0.011729037,0.005703059,0.002994897
DE07,2018,-0.091047963,-0.117094134,0.010352446,-0.001509856,0.005560131,-0.005932216
DE08,1999,-0.197200896,-0.184784402,-0.026059452,-0.042246153,-0.018912681,-0.014734556
DE08,2000,0.006470007,0.143684806,-0.004908981,0.015445173,-0.019632272,0.006650575
DE08,2001,-0.091131479,-0.026246633,0.00274074,-0.008097008,0.013377852,-0.004571168
DE08,2002,-0.004173937,0.010583802,-0.005706657,0.009423485,0.005959307,-0.007569865
DE08,2003,-0.003078833,-0.073846758,0.002301088,0.028272035,0.012128193,-0.002120784
DE08,2004,0.127913301,0.120710432,-0.016988187,0.008642455,-0.013162176,0.007632446
DE08,2005,0.046227569,-0.066345119,4.92E-05,-0.001284702,0.017700093,-0.001104444
DE08,2006,-0.069592301,-0.137897253,-0.015457764,-0.033590201,-0.014454789,-0.019153856
DE08,2007,0.001758053,0.313694803,0.018693214,0.059517583,-0.002952899,0.044023925
DE08,2008,-0.096949309,-0.049008913,-0.023674559,-0.038619899,-0.014400598,-0.002040753
DE08,2009,-0.06570347,0.01711845,0.014109577,0.016143302,0.00483902,-0.005995802
DE08,2010,-0.079138241,0.000527903,-0.01311164,-0.014174373,-0.009126564,-0.007373717
DE08,2012,-0.024321685,0.312663135,0.018590387,0.015826206,0.01108601,0.004020037
DE08,2013,-0.148875852,-0.122945082,-0.006260237,-0.002007425,0.008978353,0.005393545
DE08,2014,-0.007405156,0.174646518,0.002646805,0.014986259,-0.013240351,-0.013280776
DE08,2015,-0.197200896,-0.184784402,-0.026059452,-0.042246153,-0.018912681,-0.014734556
DE09,2004,-0.003586447,0.217227553,-0.01281217,0.022749888,-0.011019001,0.008280321
