basin,year,site,country,latitude,longitude,eqr,urb.full,crop.full,tree.full,temp.change
BE01,1996,121000033,belgium,50.8473471,5.5007827,0.25,0.021671827,0.964396285,0.007739938,0.02178388
BE01,1996,121000075,belgium,51.2548321,5.0863727,0.7,0.028846154,0.740384615,0.0625,0.02178388
BE01,1996,121000145,belgium,51.2053415,4.6862499,0.5,0.007389163,0.446633826,0.399835796,0.02178388
BE01,1996,121000054,belgium,51.2368038,5.0828874,0.8,NA,NA,NA,0.02178388
BE01,1996,121000076,belgium,51.2610922,5.093088,0.6,0.03125,0.723958333,0.067708333,0.02178388
BE01,1996,121000146,belgium,51.2115555,4.6982846,0.4,0.008097166,0.447368421,0.393724696,0.02178388
BE01,1997,121000146,belgium,51.2115555,4.6982846,0.4,0.008097166,0.447368421,0.393724696,0.02178388
BE01,1997,121000145,belgium,51.2053415,4.6862499,0.35,0.007389163,0.446633826,0.399835796,0.02178388
BE01,1997,121000054,belgium,51.2368038,5.0828874,0.8,NA,NA,NA,0.02178388
BE01,1997,121000033,belgium,50.8473471,5.5007827,0.2,0.023219814,0.962848297,0.007739938,0.02178388
BE01,1997,121000075,belgium,51.2548321,5.0863727,0.65,0.028846154,0.740384615,0.0625,0.02178388
BE01,1997,121000076,belgium,51.2610922,5.093088,0.35,0.03125,0.723958333,0.067708333,0.02178388
BE01,1998,121000145,belgium,51.2053415,4.6862499,0.55,0.007389163,0.446633826,0.399835796,0.02178388
BE01,1998,121000075,belgium,51.2548321,5.0863727,0.6,0.028846154,0.740384615,0.0625,0.02178388
BE01,1998,121000146,belgium,51.2115555,4.6982846,0.6,0.008097166,0.447368421,0.393724696,0.02178388
BE01,1998,121000033,belgium,50.8473471,5.5007827,0.4,0.023219814,0.962848297,0.007739938,0.02178388
BE01,1998,121000076,belgium,51.2610922,5.093088,0.45,0.03125,0.723958333,0.067708333,0.02178388
BE01,1998,121000054,belgium,51.2368038,5.0828874,0.85,NA,NA,NA,0.02178388
BE01,1999,121000145,belgium,51.2053415,4.6862499,0.65,0.009031199,0.44499179,0.403119869,0.02178388
BE01,1999,121000075,belgium,51.2548321,5.0863727,0.6,0.028846154,0.740384615,0.0625,0.02178388
BE01,1999,121000146,belgium,51.2115555,4.6982846,0.7,0.008097166,0.446356275,0.398785425,0.02178388
BE01,1999,121000033,belgium,50.8473471,5.5007827,0.35,0.023219814,0.962848297,0.007739938,0.02178388
BE01,1999,121000076,belgium,51.2610922,5.093088,0.6,0.03125,0.723958333,0.067708333,0.02178388
BE01,1999,121000054,belgium,51.2368038,5.0828874,0.85,NA,NA,NA,0.02178388
BE01,2000,121000145,belgium,51.2053415,4.6862499,0.6,0.009852217,0.444170772,0.403119869,0.02178388
BE01,2000,121000075,belgium,51.2548321,5.0863727,0.75,0.028846154,0.740384615,0.0625,0.02178388
BE01,2000,121000146,belgium,51.2115555,4.6982846,0.6,0.008097166,0.446356275,0.398785425,0.02178388
BE01,2000,121000033,belgium,50.8473471,5.5007827,0.3,0.024767802,0.96130031,0.007739938,0.02178388
BE01,2000,121000076,belgium,51.2610922,5.093088,0.65,0.03125,0.723958333,0.067708333,0.02178388
BE01,2000,121000054,belgium,51.2368038,5.0828874,0.85,NA,NA,NA,0.02178388
BE01,2002,121000075,belgium,51.2548321,5.0863727,0.85,0.048076923,0.721153846,0.0625,0.02178388
BE01,2002,121000076,belgium,51.2610922,5.093088,0.9,0.052083333,0.703125,0.067708333,0.02178388
BE01,2002,121000146,belgium,51.2115555,4.6982846,0.65,0.022267206,0.434210526,0.391700405,0.02178388
BE01,2002,121000145,belgium,51.2053415,4.6862499,0.6,0.030377668,0.431034483,0.391625616,0.02178388
BE01,2002,121000054,belgium,51.2368038,5.0828874,0.8,NA,NA,NA,0.02178388
BE01,2002,121000033,belgium,50.8473471,5.5007827,0.45,0.037151703,0.948916409,0.007739938,0.02178388
BE01,2004,121000033,belgium,50.8473471,5.5007827,0.3,0.074303406,0.911764706,0.007739938,0.02178388
BE01,2004,121000075,belgium,51.2548321,5.0863727,1,0.144230769,0.629807692,0.0625,0.02178388
BE01,2004,121000145,belgium,51.2053415,4.6862499,0.35,0.133825944,0.367816092,0.357142857,0.02178388
BE01,2004,121000054,belgium,51.2368038,5.0828874,0.9,NA,NA,NA,0.02178388
BE01,2004,121000076,belgium,51.2610922,5.093088,0.9,0.140625,0.619791667,0.067708333,0.02178388
BE01,2004,121000146,belgium,51.2115555,4.6982846,0.6,0.125506073,0.363360324,0.365384615,0.02178388
BE02,1995,121000059,belgium,51.1196984,5.7214918,0.8,0,0.5,0.375,0.025100478
BE02,1995,121000234,belgium,51.1292048,5.8238817,0.45,0.027422112,0.314367246,0.367992832,0.025100478
BE02,1995,121000152,belgium,51.1036103,5.807662,0.4,0.098684211,0.769736842,0.006578947,0.025100478
BE02,1995,121000160,belgium,51.1717187,5.7795737,0.75,0.006306306,0.800900901,0.114414414,0.025100478
